language,freq2021,freq2022,freq2023,freq2024
Kotlin,0.3237971391417425,0.26785714285714285,0.27714932126696834,0.2073684210526316
Python,0.06892067620286085,0.09933035714285714,0.12895927601809956,0.13052631578947368
C#,0.11443433029908973,0.13727678571428573,0.14479638009049775,0.11894736842105263
TypeScript,0.05721716514954486,0.078125,0.0757918552036199,0.11894736842105263
Java,0.11573472041612484,0.11830357142857142,0.09728506787330317,0.10631578947368421
JavaScript,0.08842652795838751,0.12388392857142858,0.083710407239819,0.10421052631578948
DB,0.015604681404421327,0.03125,0.04638009049773756,0.04842105263157895
PHP,0.05201560468140442,0.03236607142857143,0.026018099547511313,0.04
Dart,0.036410923276983094,0.03236607142857143,0.026018099547511313,0.03684210526315789
C++,0.033810143042912875,0.018973214285714284,0.01809954751131222,0.02631578947368421
